county,city_town,specialist,capacity_adequacy,distance_adequacy,total_adequacy,status,ZIP_Code
Harris,Houston,Anesthesiology,61,27,44,INADEQUATE,77401
Harris,Houston,Cardiology,24,85,54,PARTIALLY ADEQUATE,77401
Harris,Houston,Dermatology,81,18,50,PARTIALLY ADEQUATE,77379
Harris,Houston,Gynecology,70,83,76,ADEQUATE,77429
Harris,Houston,Neurology,30,67,48,PARTIALLY ADEQUATE,77429
Harris,Houston,Ophthalmology,92,26,59,PARTIALLY ADEQUATE,77070
Harris,Houston,Orthopedic Surgery,96,16,56,PARTIALLY ADEQUATE,77041
Dallas,Dallas,Anesthesiology,84,55,70,ADEQUATE,75235
Dallas,Dallas,Cardiology,84,22,53,PARTIALLY ADEQUATE,77030
Dallas,Dallas,Dermatology,97,49,73,ADEQUATE,75061
Dallas,Dallas,Gynecology,33,51,42,INADEQUATE,75104
Dallas,Dallas,Neurology,12,18,15,INADEQUATE,75088
Dallas,Dallas,Ophthalmology,31,59,45,PARTIALLY ADEQUATE,75182
Dallas,Dallas,Orthopedic Surgery,62,36,49,PARTIALLY ADEQUATE,77030
Tarrant,Keller,Anesthesiology,11,75,43,INADEQUATE,77069
Tarrant,Keller,Cardiology,97,14,56,PARTIALLY ADEQUATE,75226
Tarrant,Keller,Dermatology,39,38,38,INADEQUATE,76063
Tarrant,Keller,Gynecology,47,46,46,PARTIALLY ADEQUATE,76022
Tarrant,Keller,Neurology,11,47,29,INADEQUATE,76015
Tarrant,Keller,Ophthalmology,73,92,82,ADEQUATE,76132
Tarrant,Keller,Orthopedic Surgery,69,17,43,INADEQUATE,77041
Travis,Lakeway,Anesthesiology,30,74,52,PARTIALLY ADEQUATE,78738
Travis,Lakeway,Cardiology,42,95,68,ADEQUATE,78735
Travis,Lakeway,Dermatology,85,26,56,PARTIALLY ADEQUATE,78738
Travis,Lakeway,Gynecology,67,80,74,ADEQUATE,77074
Travis,Lakeway,Neurology,31,98,64,ADEQUATE,78731
Travis,Lakeway,Ophthalmology,98,54,76,ADEQUATE,78731
Travis,Lakeway,Orthopedic Surgery,58,13,36,INADEQUATE,78645
Tarrant,Fort Worth,Anesthesiology,100,45,72,ADEQUATE,76054
Tarrant,Fort Worth,Cardiology,68,79,74,ADEQUATE,76021
